   DEPT        IK            RR        DS            RS        SP
   1521.40     291.512       2.044     218.797       3.720      -5.218
   1521.19     295.989       2.044     215.265       3.662      -5.568
   1520.99     300.466       2.044     212.755       3.561      -3.109
   1520.80     306.383       2.045     211.174       3.461      -1.965
   1520.59     313.151       2.045     217.277       3.360      -1.310
   1520.40     319.919       2.045     219.337       3.249       -.908
   1520.20     326.687       2.045     221.260       3.131      -1.150
   1520.00     332.909       2.045     219.310       3.012       -.908
   1519.80     338.939       2.045     220.462       2.956       -.667
   1519.60     344.970       2.045     218.894       2.913      -1.089
   1519.40     349.489       2.045     221.820       2.870      -1.700
   1519.20     346.213       2.046     220.077       2.893      -1.310
   1519.00     342.937       2.046     219.746       2.951       -.513
   1518.80     339.661       2.046     211.161       3.009      -3.216
   1518.60     331.543       2.046     218.816       3.067      -7.454
   1518.40     321.987       2.046     221.217       3.163      -8.692
   1518.20     312.431       2.046     227.390       3.274      -9.931
   1518.00     302.689       2.046     233.961       3.385     -10.795
   1517.80     292.472       2.046     221.307       3.502     -11.500
   1517.60     282.255       2.047     224.037       3.646     -12.205
   1517.40     272.038       2.047     214.045       3.790     -12.510
   1517.20     266.122       2.047     216.992       3.918     -12.507
   1517.00     260.714       2.047     222.067       4.022     -11.348
   1516.80     255.307       2.047     214.714       4.127      -9.070
   1516.60     250.683       2.047     216.541       4.231      -7.352
   1516.40     246.086       2.047     219.898       4.298      -8.987
   1516.20     241.489       2.047     223.223       4.277      -7.487
   1516.00     247.616       2.048     208.961       4.256      -8.195
   1515.80     254.478       2.048     210.406       4.236      -6.750
   1515.60     261.340       2.048     210.468       4.215      -5.675
   1515.40     270.433       2.048     221.169       4.194      -5.025
   1515.20     281.655       2.048     216.807       4.148      -4.376
   1515.00     292.878       2.048     216.986       3.979      -3.726
   1514.80     296.893       2.048     219.523       3.810      -3.076
   1514.60     300.805       2.048     224.067       3.656      -3.216
   1514.40     304.240       2.049     228.591       3.639      -3.383
   1514.20     299.049       2.049     230.997       3.621      -3.623
   1514.00     293.858       2.049     225.056       3.604      -4.131
   1513.80     288.885       2.049     219.096       3.655      -4.594
   1513.60     285.432       2.049     221.821       3.743      -4.766
   1513.40     281.979       2.049     227.384       3.831      -4.938
   1513.20     280.606       2.049     220.911       3.815      -5.164
   1513.00     287.768       2.050     218.020       3.720      -5.882
   1512.80     294.906       2.050     225.732       3.626      -6.599
   1512.60     297.676       2.050     225.280       3.581      -6.676
   1512.40     286.280       2.050     230.289       3.568      -5.976
   1512.20     275.311       2.050     227.962       3.555      -5.276
   1512.00     265.284       2.050     228.495       3.542      -4.612
   1511.80     261.351       2.050     230.075       3.703      -3.992
   1511.60     263.108       2.050     216.124       3.888      -2.583
   1511.40     258.895       2.051     202.173       3.843       -.689
   1511.20     261.870       2.051     203.743       4.004       -.507
   1511.00     267.738       2.051     212.017       4.165      -1.000
   1510.80     277.202       2.051     222.754       4.072      -1.392
   1510.60     291.580       2.051     231.451       3.760      -1.571
   1510.40     298.321       2.051     231.157       3.524      -2.290
   1510.20     302.457       2.051     227.855       3.437      -3.158
   1510.00     300.850       2.051     225.889       3.455      -3.415
   1509.80     299.242       2.052     219.562       3.468      -3.412
   1509.60     296.123       2.052     215.218       3.365      -3.379
   1509.40     291.793       2.052     223.129       3.262      -3.213
   1509.20     287.462       2.052     220.550       3.200      -3.047
   1509.00     283.132       2.052     219.458       3.261      -2.881
   1508.80     278.864       2.052     227.299       3.417      -3.980
   1508.60     275.582       2.052     215.617       3.573      -5.314
   1508.40     272.300       2.052     218.238       3.633      -6.690
   1508.20     269.017       2.053     221.656       3.634      -8.173
   1508.00     267.138       2.053     225.074       3.635      -9.170
   1507.80     265.462       2.053     217.898       3.702      -8.144
   1507.60     267.024       2.053     221.834       3.768      -7.118
   1507.40     269.075       2.053     216.994       3.826      -6.326
   1507.20     271.127       2.053     212.154       3.757      -5.546
   1507.00     273.178       2.053     217.545       3.689      -4.766
   1506.80     275.230       2.053     223.110       3.651      -4.692
   1506.60     278.638       2.054     226.965       3.621      -5.072
   1506.40     282.068       2.054     223.009       3.591      -5.369
   1506.20     279.075       2.054     221.468       3.561      -5.405
   1506.00     276.083       2.054     216.263       3.531      -5.836
   1505.80     272.681       2.054     209.319       3.594      -6.442
   1505.60     268.840       2.054     213.668       3.702      -7.038
   1505.40     264.999       2.054     218.123       3.810      -6.844
   1505.20     262.462       2.055     212.995       3.908      -6.236
   1505.00     262.370       2.055     206.130       3.972      -4.597
   1504.80     262.277       2.055     222.324       4.037      -5.016
   1504.60     265.405       2.055     220.604       4.060      -5.179
   1504.40     274.120       2.055     213.968       3.700      -4.807
   1504.20     282.834       2.055     204.455       3.586      -3.036
   1504.00     289.900       2.055     221.358       3.651      -1.790
   1503.80     297.096       2.055     211.741       3.574      -1.638
   1503.60     304.824       2.056     226.382       3.472      -2.404
   1503.40     310.289       2.056     222.492       3.334      -3.241
   1503.20     311.362       2.056     222.878       3.257      -4.079
   1503.00     307.086       2.056     227.785       3.282      -4.694
   1502.80     302.684       2.056     214.159       3.308      -5.241
   1502.60     297.501       2.056     211.378       3.381      -5.100
   1502.40     288.688       2.056     202.616       3.483      -4.474
   1502.20     279.876       2.056     207.513       3.585      -3.745
   1502.00     271.473       2.057     217.955       3.673      -3.016
