   DEPT        IK            RR        DS            RS        SP
   1600.98     216.743       1.993     213.419       7.021     -25.584
   1600.78     216.695       1.993     216.367       7.105     -25.904
   1600.58     216.648       1.993     216.217       7.248     -26.956
   1600.38     214.809       1.994     215.027       7.426     -28.262
   1600.18     212.355       1.994     213.809       7.612     -30.921
   1599.98     214.893       1.994     214.081       7.805     -31.465
   1599.78     218.970       1.994     213.251       7.983     -32.149
   1599.58     220.397       1.994     214.083       7.910     -34.179
   1599.38     221.460       1.994     210.639       7.822     -35.509
   1599.18     222.521       1.994     211.428       7.672     -38.750
   1598.98     223.572       1.994     213.606       7.738     -41.990
   1598.78     223.111       1.995     210.666       7.802     -36.169
   1598.58     222.562       1.995     210.392       7.612     -30.249
   1598.38     222.013       1.995     212.351       7.420     -29.975
   1598.18     219.078       1.995     211.839       7.261     -31.475
   1597.98     215.811       1.995     215.346       7.262     -24.750
   1597.78     211.664       1.995     215.351       6.992     -19.218
   1597.58     208.532       1.995     219.467       7.099     -20.136
   1597.38     210.523       1.995     217.853       7.222     -19.965
   1597.18     212.142       1.996     216.238       7.125     -21.406
   1596.98     212.913       1.996     215.149       7.027     -19.324
   1596.78     213.683       1.996     212.887       6.930     -16.775
   1596.58     214.454       1.996     215.246       6.854     -17.607
   1596.38     215.130       1.996     214.964       6.816     -19.486
   1596.18     215.554       1.996     215.993       6.778     -21.875
   1595.98     215.977       1.996     213.210       6.739     -20.423
   1595.78     216.401       1.996     213.147       6.686     -22.032
   1595.58     216.677       1.997     211.032       6.633     -26.177
   1595.38     216.261       1.997     212.563       6.509     -26.114
   1595.18     215.845       1.997     219.504       6.312     -24.339
   1594.98     215.429       1.997     218.094       6.366     -19.556
   1594.78     215.142       1.997     216.597       6.601     -19.051
   1594.58     215.186       1.997     215.937       6.840     -19.972
   1594.38     215.873       1.997     217.539       7.109     -25.460
   1594.18     218.376       1.997     213.564       7.373     -36.494
   1593.98     220.878       1.998     211.978       7.344     -38.297
   1593.78     222.485       1.998     210.455       7.315     -38.259
   1593.58     223.889       1.998     212.511       7.428     -38.686
   1593.38     225.304       1.998     212.042       7.561     -37.986
   1593.18     226.739       1.998     215.266       7.691     -40.175
   1592.98     228.173       1.998     214.092       7.708     -41.387
   1592.78     229.608       1.998     213.182       7.821     -39.039
   1592.58     230.059       1.999     213.602       7.934     -35.832
   1592.38     230.385       1.999     212.829       8.047     -37.323
   1592.18     229.645       1.999     213.790       8.231     -38.729
   1591.98     225.957       1.999     212.426       9.887     -39.923
   1591.78     219.116       1.999     213.814      12.072     -39.137
   1591.58     211.179       1.999     209.046      14.416     -39.081
   1591.38     202.505       1.999     215.667      20.894     -38.614
   1591.18     190.516       1.999     212.993      28.829     -34.986
   1590.98     151.750       2.000     214.154      45.740     -30.970
   1590.78     131.929       2.000     218.535      52.132     -28.015
   1590.58     107.254       2.000     221.804      61.992     -25.060
   1590.38      94.501       2.000     222.586      56.610     -22.132
   1590.18      88.381       2.000     222.196      27.261     -23.427
   1589.98      83.588       2.000     221.737      23.362     -26.287
   1589.78      95.917       2.000     221.047      20.832     -30.281
   1589.58     111.600       2.000     219.012      18.303     -36.992
   1589.38     125.355       2.001     218.428      15.774     -42.891
   1589.18     145.311       2.001     216.699      13.245     -47.152
   1588.98     173.523       2.001     215.638      10.716     -38.435
   1588.78     178.440       2.001     215.554       9.847     -29.053
   1588.58     183.357       2.001     216.237       9.452     -29.332
   1588.38     188.275       2.001     215.606       9.263     -26.834
   1588.18     190.049       2.001     216.886       9.074     -24.136
   1587.98     187.360       2.001     215.131       8.963     -22.665
   1587.78     182.456       2.002     217.731       9.163     -23.862
   1587.58     180.155       2.002     216.950       9.588     -24.549
   1587.38     178.993       2.002     216.648       9.594     -26.113
   1587.18     180.240       2.002     216.334       9.237     -29.272
   1586.98     181.568       2.002     215.668       8.926     -33.088
   1586.78     183.372       2.002     216.201       8.653     -31.778
   1586.58     184.007       2.002     215.386       8.444     -27.958
   1586.38     184.642       2.002     216.547       8.342     -23.057
   1586.18     184.175       2.003     214.985       8.789     -16.913
   1585.98     179.557       2.003     212.979       9.588     -23.593
   1585.78     175.743       2.003     213.635      10.043     -30.273
   1585.58     174.144       2.003     210.111       9.702     -36.953
   1585.38     176.599       2.003     217.183       9.093     -39.267
   1585.18     179.054       2.003     217.468       8.579     -33.629
   1584.98     184.648       2.003     216.920       8.140     -31.180
   1584.78     188.148       2.004     216.081       7.794     -30.310
   1584.58     191.649       2.004     215.338       7.525     -28.313
   1584.38     195.149       2.004     213.374       7.670     -26.240
   1584.18     196.074       2.004     214.305       8.209     -27.400
   1583.98     195.485       2.004     216.381       8.703     -28.559
   1583.78     194.274       2.004     216.990       8.787     -29.719
   1583.58     191.012       2.004     213.404       8.864     -34.635
   1583.38     188.817       2.004     209.817       8.887     -33.189
   1583.18     186.657       2.005     206.231       8.985     -35.700
   1582.98     184.602       2.005     210.171       9.176     -35.814
   1582.78     182.562       2.005     216.408       9.367     -37.015
   1582.58     180.570       2.005     215.063       9.557     -38.929
   1582.38     178.607       2.005     214.005       9.864     -37.842
   1582.18     176.643       2.005     213.659      10.206     -39.959
   1581.98     174.679       2.005     215.355      10.336     -43.693
   1581.78     172.536       2.005     215.817       9.903     -40.293
   1581.58     169.604       2.006     213.667       9.976     -38.033
   1581.38     166.410       2.006     211.778      10.169     -32.820
   1581.18     156.777       2.006     214.477      10.666     -40.181
   1580.98     156.164       2.006     211.082      11.404     -40.240
   1580.78     155.551       2.006     211.489      10.906     -38.877
   1580.58     154.938       2.006     208.830      10.037     -22.023
   1580.38     154.243       2.006     217.747       9.208     -19.486
   1580.18     153.296       2.006     217.410       9.020     -17.217
   1579.98     152.350       2.007     217.073       9.626     -16.272
   1579.78     151.403       2.007     216.573      10.449     -13.157
   1579.58     146.076       2.007     217.200      11.198      -8.965
   1579.38     141.711       2.007     221.635      11.265      -6.248
   1579.18     138.807       2.007     220.074      10.359      -6.455
   1578.98     137.354       2.007     217.957       9.521      -9.253
   1578.78     140.908       2.007     221.949       8.383     -13.894
   1578.58     145.035       2.007     217.623       7.859     -17.212
   1578.38     152.092       2.008     213.297       7.711     -21.140
   1578.18     160.892       2.008     213.020       7.903     -25.092
   1577.98     174.108       2.008     212.911       7.810     -29.319
   1577.78     185.835       2.008     218.615       7.718     -31.597
   1577.58     192.022       2.008     218.330       7.686     -31.490
   1577.38     197.301       2.008     212.129       7.702     -31.684
   1577.18     201.970       2.008     205.929       7.728     -32.281
   1576.98     206.640       2.009     208.535       7.604     -35.381
   1576.78     207.713       2.009     205.016       7.480     -33.375
   1576.58     207.866       2.009     204.048       7.419     -26.116
   1576.38     205.308       2.009     207.427       7.408     -22.146
   1576.18     202.631       2.009     208.578       7.542     -23.854
   1575.98     198.528       2.009     208.543       7.800     -26.631
   1575.78     194.265       2.009     207.445       8.232     -27.734
   1575.58     190.002       2.009     208.978       8.664     -25.785
   1575.38     185.838       2.010     210.191       9.129     -25.263
   1575.18     181.882       2.010     208.159       9.663     -27.832
   1574.98     178.298       2.010     206.920      10.256     -26.020
   1574.78     171.099       2.010     212.202      10.434     -25.688
   1574.58     164.580       2.010     211.021      11.235     -35.633
   1574.38     158.709       2.010     209.030      11.644     -43.117
   1574.18     152.837       2.010     208.927      14.702     -41.249
   1573.98     147.444       2.010     203.812      16.394     -41.243
   1573.78     142.116       2.011     200.281      17.568     -43.753
   1573.58     136.004       2.011     207.020      17.374     -48.014
   1573.38     131.250       2.011     208.391      16.540     -44.590
   1573.18     133.222       2.011     208.996      15.018     -38.340
   1572.98     135.392       2.011     210.231      11.700     -27.024
   1572.78     140.259       2.011     210.372       9.794     -23.771
   1572.58     147.101       2.011     214.203       9.400     -23.734
   1572.38     151.764       2.011     214.504       9.497     -24.226
   1572.18     153.323       2.012     212.471      10.000     -26.858
   1571.98     152.894       2.012     214.558      10.701     -29.776
   1571.78     150.219       2.012     212.025      11.324     -33.515
   1571.58     149.132       2.012     211.225      11.058     -38.234
   1571.38     150.579       2.012     212.183      10.771     -39.881
   1571.18     152.623       2.012     215.088      10.343     -37.309
   1570.98     155.149       2.012     212.100       9.916     -33.215
   1570.78     157.765       2.012     209.345       9.935     -33.958
   1570.58     158.515       2.013     210.511      10.247     -36.238
   1570.38     158.421       2.013     211.177      10.769     -39.788
   1570.18     157.187       2.013     214.795      11.479     -44.026
   1569.98     153.081       2.013     210.566      11.083     -42.552
   1569.78     149.795       2.013     206.412      10.453     -36.811
   1569.58     149.240       2.013     208.863       9.777     -32.588
   1569.38     152.195       2.013     211.315       9.198     -28.873
   1569.18     155.954       2.014     210.890       8.756     -29.561
   1568.98     162.194       2.014     212.076       8.381     -29.389
   1568.78     168.928       2.014     213.589       8.210     -25.526
   1568.58     173.940       2.014     212.470       8.038     -19.091
   1568.38     177.624       2.014     212.714       7.866     -15.643
   1568.18     180.109       2.014     214.532       7.695     -13.567
   1567.98     182.593       2.014     214.657       7.523     -12.296
   1567.78     185.078       2.014     217.012       7.351     -13.177
   1567.58     186.855       2.015     217.498       7.179     -16.181
   1567.38     188.474       2.015     217.181       7.148     -17.584
   1567.18     190.092       2.015     217.179       7.139     -13.302
   1566.98     191.185       2.015     216.025       7.130     -11.332
   1566.78     191.461       2.015     217.323       7.121     -12.860
   1566.58     191.736       2.015     213.984       7.123     -10.675
   1566.38     192.011       2.015     215.154       7.161     -10.425
   1566.18     191.610       2.015     218.617       7.199     -11.219
   1565.98     190.668       2.016     218.870       7.341     -11.409
   1565.78     189.725       2.016     217.860       7.567     -12.841
   1565.58     187.769       2.016     215.390       7.850     -17.502
   1565.39     185.742       2.016     213.094       8.075     -17.026
   1565.19     184.192       2.016     214.853       7.812     -19.463
   1564.98     183.210       2.016     213.197       8.300     -20.654
   1564.79     182.227       2.016     212.965       8.831     -19.550
   1564.58     181.245       2.016     218.957       9.536     -22.240
   1564.39     179.605       2.017     217.309      10.203     -26.052
