Depth     DS        PS        IK        BK        PZ
2425.20   26.1926   89.1957   198.2953  3.6028    5.2503
2425.40   26.0837   90.1042   198.0294  3.6724    5.3531
2425.60   26.1304   90.5766   196.3610  3.9082    5.3873
2425.80   26.1926   91.0005   196.0467  4.0972    5.4290
2426.00   26.1946   91.3154   195.5147  4.2331    5.5367
2426.20   26.2335   91.7999   193.2902  4.2729    5.7667
2426.40   26.2646   92.0179   190.4129  4.2761    5.6884
2426.60   26.2043   90.9884   188.1642  4.4212    6.1608
2426.80   25.7646   87.8755   186.1089  4.7780    6.4545
2427.00   25.9416   84.7263   184.1020  5.0544    6.2710
2427.20   25.3988   81.3832   183.7877  4.9142    6.6479
2427.40   25.0467   78.7064   183.6668  5.6306    6.9000
2427.60   25.7140   77.6526   180.8620  4.9754    6.4203
2427.80   24.5058   82.2069   182.3369  5.9074    6.2293
2428.00   24.5661   85.1139   185.1901  6.0034    6.5745
2428.20   25.1226   87.1003   186.0847  4.3783    6.2367
2428.40   25.3658   88.5174   184.5614  4.7104    5.6909
2428.60   25.2607   90.7703   181.1763  4.2874    6.2098
2428.80   25.1907   90.2859   175.5425  3.8921    6.8584
2429.00   25.3210   87.1245   170.1747  4.2665    6.4178
2429.20   24.3599   81.3711   170.9968  6.0850    6.7752
2429.40   24.4844   83.2485   174.9622  6.8734    7.3357
2429.60   25.1401   84.8595   171.9640  5.3227    7.5144
2429.80   25.6342   80.9109   167.6842  5.3227    7.6980
2430.00   25.7938   78.9850   163.3561  5.5116    7.8522
2430.20   25.6673   74.5397   158.6653  5.4930    8.3539
2430.40   25.0058   67.6599   155.8363  6.6628    8.7725
2430.60   24.0292   65.4070   154.4581  7.8195    8.8777
2430.80   23.9903   69.8643   154.8208  8.0334    8.6158
2431.00   24.5253   76.3324   157.8916  7.2384    8.1581
2431.20   24.9144   80.1235   162.7274  6.8760    7.8962
2431.40   25.1868   83.2364   166.4511  6.4976    7.5731
2431.60   25.4008   87.0518   169.1108  5.4520    7.1374
2431.80   25.5584   90.0557   171.0935  4.7959    6.5598
2432.00   25.5681   91.8968   172.6410  4.6004    5.6835
2432.20   25.5156   92.7447   174.3336  4.5746    5.4045
2432.40   25.4086   92.3207   175.4458  4.7547    6.7164
2432.60   25.3074   90.0557   170.1989  4.5558    7.3847
2432.80   25.2918   87.2335   166.6445  4.4528    5.9993
2433.00   25.3794   85.3924   170.8275  5.8107    6.0188
2433.20   25.3813   85.9738   175.7118  8.4663    7.2256
2433.40   25.3619   85.3803   176.0986  6.3937    8.8582
2433.60   25.2860   87.4758   177.6461  5.1849    8.0773
2433.80   25.2393   89.7892   184.1262  5.1635    6.2196
2434.00   25.4339   91.6182   205.8877  6.2585    5.8989
2434.20   25.7763   93.4472   219.0655  5.4316    6.2171
2434.40   26.2704   93.6289   227.6492  4.4030    5.4216
2434.60   26.0992   92.6357   234.0083  3.6300    4.8244
2434.80   26.4144   92.4419   238.1914  3.3640    4.2394
2435.00   26.6751   92.7083   241.0687  3.2781    4.5453
2435.20   26.6012   92.1754   242.6404  3.3817    5.1059
2435.40   26.4066   91.9210   242.3986  3.5254    4.7265
2435.60   26.5564   92.5145   243.1723  3.6327    3.4268
2435.80   25.9591   92.8052   249.0721  4.0590    3.8820
2436.00   25.7879   92.6841   259.3242  4.0227    4.0729
2436.20   25.9222   93.2776   267.7144  3.7433    3.9750
2436.40   26.3813   93.3745   277.6764  3.4716    3.9555
2436.60   28.0156   93.0596   284.7368  3.2633    4.3079
2436.80   28.6401   93.5683   290.9750  3.0780    3.7964
2437.00   29.9728   94.0770   296.2703  2.9415    3.5932
2437.20   29.3035   94.1376   299.9940  2.9228    3.4953
2437.40   30.4494   94.0770   303.8627  2.8631    3.4072
2437.60   33.9397   93.6531   307.7556  2.8481    3.0694
2437.80   32.4436   93.4714   308.4809  2.9217    3.4292
2438.00   32.4027   94.1497   304.8540  2.9926    4.3275
2438.20   29.7529   93.6289   301.7832  3.1574    3.9457
2438.40   28.3307   93.0959   299.0510  3.3690    3.6275
2438.60   27.0798   93.2776   305.0475  3.4820    3.7401
2438.80   32.7276   93.5441   315.1544  3.3114    3.5296
2439.00   34.9825   93.9922   322.9402  2.9647    3.2554
2439.20   35.8599   94.3677   327.6794  2.8556    3.3264
2439.40   36.4163   94.8038   328.5982  2.8216    3.4243
2439.60   37.7743   94.8765   329.3719  2.8173    3.4512
2439.80   33.3969   94.4162   330.4117  2.8514    3.4561
2440.00   31.0739   93.4956   328.8158  2.8599    3.3313
2440.20   29.6556   92.7326   328.7433  2.9404    3.2554
2440.40   30.5953   92.2117   331.3546  3.0333    3.6103
2440.60   31.7724   92.9142   335.5861  2.9592    3.6642
2440.80   36.3852   92.7204   340.3736  2.8707    3.1771
2441.00   35.1868   92.5266   346.2733  2.8492    2.6508
2441.20   35.4747   92.5872   351.2543  2.7984    2.3889
2441.40   36.8152   92.7810   356.4529  2.7015    2.5456
2441.60   34.0875   92.7083   362.9330  2.6197    3.3582
2441.80   34.2023   92.4419   368.3008  2.5395    3.7939
2442.00   37.6576   92.6235   372.9432  2.4543    3.4488
2442.20   37.6946   93.1565   377.7791  2.4169    3.7743
2442.40   37.7004   94.0407   380.2213  2.5300    3.0816
2442.60   37.7121   94.7796   381.5269  2.6296    2.7536
2442.80   37.7296   95.3367   378.0693  2.4515    3.5442
2443.00   36.7957   94.5131   369.7032  2.4169    3.6250
2443.20   34.9300   92.9990   340.9781  2.5480    3.8453
2443.40   26.7743   91.8241   315.3479  3.0942    4.5894
2443.60   25.2276   91.6424   287.4932  4.9605    4.8072
2443.80   25.0311   92.4176   275.7904  5.4561    4.6506
2444.00   25.3502   92.8537   268.9959  4.3685    3.9848
2444.20   25.8444   92.8295   267.7386  3.8645    4.0166
2444.40   26.0875   92.3934   274.8957  3.4046    3.8869
2444.60   27.4689   92.1391   288.3395  3.1515    3.4635
2444.80   26.3054   92.0058   298.5190  2.9118    3.7474
2445.00   28.1362   92.2117   304.9507  2.6904    4.1415
2445.20   30.3988   93.3745   307.9490  2.5471    3.6226
2445.40   31.2276   94.1860   302.9680  2.4042    3.7376
2445.60   27.9630   94.2345   284.5917  2.5064    4.1121
2445.80   25.1984   92.5993   263.7249  3.0242    5.0667
2446.00   24.5078   90.5039   218.7028  4.3734    5.5146
2446.20   24.5661   85.3924   193.7254  5.0924    7.3724
2446.40   24.4047   78.7306   184.6582  10.7339   8.5914
2446.60   22.9280   71.6812   175.6151  11.2573   8.8875
2446.80   23.1518   75.3997   173.2213  9.2843    9.1519
2447.00   23.8424   82.4370   173.3422  5.5593    8.3074
2447.20   24.4591   87.9845   175.3007  5.3708    7.4972
