   DEPT        IK            KS        KV            RS        SP
   1540.00     131.118       2.653     213.011       6.682     -41.924
   1539.50     118.104       2.653     211.823       7.149     -46.670
   1539.00     107.653       2.653     211.554       8.795     -56.057
   1538.50     102.441       2.653     211.827      10.134     -59.051
   1538.00      99.340       2.653     210.886      11.176     -56.314
   1537.50      93.946       2.653     209.473      11.390     -54.109
   1537.00      88.871       2.653     208.598      12.267     -61.474
   1536.50      89.638       2.653     209.972      13.914     -62.252
   1536.00     103.376       2.653     209.634      13.783     -61.898
   1535.50     119.911       2.653     211.888      13.821     -60.197
   1535.00     123.567       2.653     214.784      11.653     -51.951
   1534.50     117.420       2.653     213.962       9.666     -42.308
   1534.00     110.987       2.653     210.761       8.974     -50.683
   1533.50     108.143       2.653     211.510       9.891     -54.339
   1533.00     111.070       2.653     211.597      10.146     -57.321
   1532.50     120.215       2.653     211.334      10.716     -54.598
   1532.00     135.070       2.653     211.150      10.269     -46.237
   1531.50     144.377       2.653     210.987       9.263     -29.130
   1531.00     141.034       2.653     210.911       7.906     -23.707
   1530.50     134.548       2.653     213.807       7.499     -27.809
   1530.00     125.894       2.653     214.353       7.588     -30.266
   1529.50     114.617       2.653     211.161       7.699     -29.328
   1529.00     111.586       2.653     212.847       8.847     -37.591
   1528.50     112.238       2.653     213.083      10.021     -43.777
   1528.00     117.547       2.653     217.840      10.177     -43.671
   1527.50     115.225       2.653     217.984       9.577     -32.889
   1527.00     102.939       2.653     217.454       9.019     -33.399
   1526.50     100.450       2.653     215.956       9.185     -36.258
   1526.00     105.950       2.654     215.871       9.941     -42.792
   1525.50     103.284       2.654     216.646      11.174     -51.526
   1525.00      98.072       2.654     216.548      10.555     -30.968
   1524.50      85.321       2.654     216.155      11.197     -36.108
   1524.00     111.568       2.654     217.120      12.635     -51.405
   1523.50     142.497       2.654     224.133      10.295     -37.868
   1523.00     169.565       2.654     226.644       8.622     -24.796
   1522.50     195.220       2.654     223.377       7.011     -17.439
   1522.00     217.779       2.654     229.116       6.107     -16.563
   1521.50     237.193       2.654     228.598       5.150     -10.532
   1521.00     255.089       2.654     226.736       3.908      -9.656
   1520.50     266.369       2.654     222.438       3.676     -10.199
   1520.00     274.890       2.654     225.208       3.697     -10.334
   1519.50     281.800       2.654     228.512       3.416     -10.733
   1519.00     285.582       2.654     228.518       3.120     -10.940
   1518.50     288.030       2.654     232.657       3.094      -9.950
   1518.00     287.176       2.654     231.771       3.075      -8.227
   1517.50     283.911       2.654     230.550       2.957      -8.364
   1517.00     268.790       2.654     228.775       2.979      -8.827
   1516.50     249.871       2.654     231.668       3.100      -9.570
   1516.00     215.475       2.654     227.274       3.358     -10.372
   1515.50     240.580       2.654     222.969       3.853     -10.397
   1515.00     261.093       2.654     226.797       4.166      -9.962
   1514.50     275.811       2.654     224.832       3.761      -8.545
   1514.00     283.862       2.654     226.211       3.143      -8.226
   1513.50     298.319       2.654     224.967       3.088      -7.823
   1513.00     309.524       2.654     227.991       3.034      -7.372
   1512.50     318.095       2.654     227.065       2.828      -6.801
   1512.00     318.543       2.654     226.222       2.695      -6.129
   1511.50     314.126       2.654     229.253       2.626      -5.882
   1511.00     306.135       2.654     227.798       2.662      -5.989
   1510.50     298.144       2.654     230.689       2.797      -5.935
   1510.00     286.942       2.654     226.082       2.925      -6.464
   1509.50     281.719       2.654     223.940       3.082      -7.169
   1509.00     282.424       2.654     223.194       3.209      -6.917
   1508.50     283.130       2.654     227.642       3.238      -6.786
   1508.00     284.681       2.654     227.392       3.199      -7.528
   1507.50     281.651       2.654     230.423       3.061      -8.238
   1507.00     271.004       2.654     233.131       3.024      -8.815
   1506.50     267.663       2.654     229.634       3.045      -8.720
   1506.00     269.084       2.654     227.341       3.125      -6.810
   1505.50     275.652       2.654     228.344       3.224      -7.230
   1505.00     269.240       2.654     229.298       3.189      -7.051
   1504.50     253.942       2.654     228.415       3.195      -7.759
   1504.00     245.456       2.654     223.872       3.298     -10.353
   1503.50     268.289       2.654     228.059       3.462     -10.789
   1503.00     276.778       2.654     231.523       3.605      -7.453
   1502.50     276.483       2.654     226.297       3.461      -6.663
   1502.00     263.555       2.654     228.335       3.179      -6.053
   1501.50     252.139       2.654     230.244       3.218      -6.525
   1501.00     241.999       2.654     228.490       3.273      -6.996
   1500.50     242.940       2.654     225.195       3.549      -7.839
   1500.00     247.096       2.654     227.578       3.586      -8.272
   1499.50     256.993       2.654     226.933       3.566      -8.217
   1499.00     265.772       2.654     227.237       3.854      -6.909
   1498.50     268.168       2.654     227.111       3.601      -7.374
   1498.00     256.334       2.654     229.673       3.329      -8.224
   1497.50     237.009       2.654     227.656       3.356      -9.029
   1497.00     223.099       2.654     226.431       3.874      -9.738
   1496.50     209.597       2.654     224.471       3.956      -9.552
   1496.00     219.045       2.654     223.571       4.061      -9.155
   1495.50     235.432       2.654     229.424       4.339      -8.487
   1495.00     250.715       2.654     230.213       3.986      -7.748
   1494.50     262.790       2.654     231.505       3.637      -8.257
   1494.00     259.577       2.654     228.046       3.413      -9.033
   1493.50     254.814       2.654     227.123       3.370      -9.808
   1493.00     254.625       2.654     226.169       3.455      -9.757
   1492.50     266.810       2.654     222.040       3.653      -8.883
   1492.00     267.296       2.654     222.710       3.556      -6.848
   1491.50     246.647       2.654     223.864       3.539      -5.088
   1491.00     240.873       2.654     220.356       3.790      -3.763
   1490.50     257.842       2.654     231.841       4.451      -4.352
   1490.00     266.059       2.654     227.946       4.708      -5.008
   1489.50     267.206       2.654     226.637       3.799      -5.841
   1489.00     259.923       2.654     228.362       3.410      -5.875
   1488.50     249.863       2.654     227.397       3.344      -6.494
   1488.00     241.177       2.654     225.318       3.355      -7.427
   1487.50     238.235       2.654     223.867       3.602      -7.522
   1487.00     256.581       2.654     218.368       3.839      -5.830
   1486.50     256.198       2.655     222.602       3.913      -5.746
   1486.00     244.079       2.655     228.372       3.665      -6.366
   1485.50     231.386       2.655     224.803       3.580      -6.015
   1485.00     231.838       2.655     225.661       3.748      -5.444
   1484.50     241.863       2.655     223.310       3.925      -4.670
   1484.00     272.483       2.655     222.199       3.744      -4.547
   1483.50     286.224       2.655     226.210       3.597      -4.861
   1483.00     266.540       2.655     219.974       3.478      -4.886
   1482.50     246.856       2.655     217.148       3.494      -4.458
   1482.00     242.139       2.655     229.209       3.696      -4.984
   1481.50     239.902       2.655     223.328       3.989      -5.182
   1481.00     234.188       2.655     219.965       4.085      -5.122
   1480.50     228.054       2.655     221.454       4.120      -4.943
   1480.00     226.462       2.655     220.251       4.100      -4.928
   1479.50     229.092       2.655     219.103       4.083      -5.340
   1479.00     231.723       2.655     224.911       4.087      -5.133
