Depth     GZ4       GZ3       GZ2       GZ1       IK        DS        BK        GZK3      PS        PZ        NKT       GK
2437.60   2.3625    3.6760    3.1688    5.5763    229.6661  23.0651   5.8021    5.5646    87.8666   7.2316    2.8746    6.1747
2437.80   2.3306    3.7105    3.5869    6.3701    228.4834  22.8739   4.9816    4.8810    88.9296   6.6205    2.7336    6.7291
2438.00   2.3772    3.5824    3.6908    6.3111    230.5532  22.9617   4.2566    4.6490    89.7116   6.0317    2.5027    5.9605
2438.20   2.4361    3.6070    4.1187    5.3920    239.1031  23.6969   3.9150    4.6197    90.1149   5.6160    2.3012    5.9590
2438.40   2.4975    3.7942    4.9029    4.3942    246.1747  23.6638   3.6009    4.6197    90.2248   5.2326    2.1237    6.1469
2438.60   2.5246    3.8853    5.3556    3.7823    253.8376  24.2839   3.4972    4.6173    90.1637   4.8911    2.0762    5.6984
2438.80   2.4779    3.8730    5.1676    3.3374    262.0919  22.0276   3.4128    4.7442    90.0660   4.6215    2.1538    5.9214
2439.00   2.4214    3.8877    4.5986    3.0917    269.3853  23.3673   3.2573    4.9274    90.0293   4.4631    1.9740    5.9131
2439.20   2.4337    4.0995    3.8268    2.9467    276.3829  28.6758   3.2000    5.0812    90.2248   4.3419    1.8627    6.0835
2439.40   2.4632    4.3802    3.4088    2.7476    284.5879  28.8201   3.1320    5.2619    90.5425   4.3518    1.8212    5.6413
2439.60   2.3723    4.5082    3.0402    2.3519    288.1360  33.1632   3.0260    5.4743    90.6769   4.4607    1.8113    5.6896
2439.80   2.1562    4.4294    2.8126    2.2143    285.4503  33.7190   2.9465    5.6989    90.4203   4.5769    1.8473    5.9668
2440.00   2.1660    4.0650    2.7087    1.9587    270.3215  23.8159   2.9410    6.0042    89.8583   4.8639    2.3078    6.4568
2440.20   2.3870    4.0945    2.6197    1.9636    236.7870  22.8934   3.1834    6.7782    88.6486   5.2301    2.7985    6.5783
2440.40   2.5737    4.3358    2.8299    2.3839    204.9526  22.9110   3.6818    7.5253    85.9971   6.1306    3.1186    7.1654
2440.60   2.7382    4.2620    3.0031    3.0622    194.2836  22.9325   4.5397    7.9087    83.0401   7.0435    3.2407    7.0649
2440.80   2.8463    4.1856    2.9784    3.6495    185.5858  22.5814   4.5666    7.7524    78.2014   7.9119    3.4688    6.3490
2441.00   2.9028    4.4195    3.6413    4.5957    175.1386  22.0490   5.1446    7.9966    72.9961   8.6442    3.5397    6.0693
2441.20   2.9568    4.6732    4.5145    6.5348    173.4138  21.7662   8.1796    7.5131    71.8842   8.4463    3.5993    5.9649
2441.40   3.0108    4.5156    4.9128    8.7958    176.5184  21.6629   8.2403    6.8294    76.3807   7.8476    3.5312    6.6745
2441.60   3.1287    4.1733    5.2047    8.8793    175.0893  22.1329   6.5898    6.3313    81.7204   7.0534    3.6326    6.7555
2441.80   3.2392    4.0552    5.6351    7.0337    173.5863  22.5678   5.9720    5.7844    84.8485   6.9644    3.4191    6.5915
2442.00   3.2588    4.1733    6.0433    6.6208    179.4752  22.5580   5.4101    5.8283    86.6691   6.8976    3.1939    6.5949
2442.20   3.2343    4.6313    6.7062    6.0924    184.1814  22.7998   4.8957    5.8967    86.9135   6.6329    2.8609    6.7394
2442.40   3.3202    5.0203    7.1169    5.6476    188.8875  23.3751   4.4763    6.1751    86.9868   6.3756    2.8703    6.2884
